record_index,message_index,fragment_role,rule,source_file,range_start,range_end,has_test_case,test_files,test_kind,test_suite,test_command,test_run_status,test_result_file,coverage_report,coverage_report_current,line_total_in_range,line_covered_in_range,line_coverage_pct,branch_side_total_in_range,branch_side_covered_in_range,branch_coverage_pct,function_total_overlapping_range,function_covered_overlapping_range,function_coverage_pct,overlapping_coverage_functions,note
1,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditNamePage.ets,18,70,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:33:49,38,36,94.74,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,rerun passed: 40/40 tests
1,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/pages/EditPhonePage.ets,18,70,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:33:49,38,36,94.74,2,2,100.00,11,10,90.91,initialRender;anonymous_3;anonymous_5;anonymous_6;anonymous_7;anonymous_8;anonymous_9;anonymous_10;anonymous_11;anonymous_13;anonymous_14,rerun passed: 40/40 tests
2,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditNamePageVM.ets,6,40,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:33:49,17,17,100.00,8,8,100.00,4,4,100.00,EditNamePageVM.instance;EditNamePageVM.init;EditNamePageVM.clear;EditNamePageVM.modify,rerun passed: 40/40 tests
2,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/src/main/ets/viewModels/EditPhonePageVM.ets,6,40,yes,src/ohosTest/ets/test/EditNamePage.test.ets;src/ohosTest/ets/test/EditPhonePage.test.ets;src/ohosTest/ets/test/EditNamePageVM.test.ets;src/ohosTest/ets/test/EditPhonePageVM.test.ets;src/ohosTest/ets/test/EditPagesRender.test.ets,instrument-test,EditNamePageTest;EditPhonePageTest;EditNamePageVMTest;EditPhonePageVMTest;EditPagesRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=mine@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/FinanceTemplate/FinancialManagement/scenes/tab/mine/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:33:49,17,17,100.00,8,8,100.00,4,4,100.00,EditPhonePageVM.instance;EditPhonePageVM.init;EditPhonePageVM.clear;EditPhonePageVM.modify,rerun passed: 40/40 tests
3,1,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,90,100,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_16;anonymous_17;anonymous_20,rerun passed: 3/3 tests
3,1,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,114,124,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_21;anonymous_22;anonymous_25,rerun passed: 3/3 tests
3,2,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,90,100,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_16;anonymous_17;anonymous_20,rerun passed: 3/3 tests
3,2,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,165,175,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_31;anonymous_32;anonymous_35,rerun passed: 3/3 tests
3,3,original,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,90,100,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_16;anonymous_17;anonymous_20,rerun passed: 3/3 tests
3,3,similar,@extrulesproject/code-clone-fragment-check,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/src/main/ets/views/settings/TimeCtrl.ets,189,199,yes,src/ohosTest/ets/test/TimeCtrlRender.test.ets;src/test/TimeCtrl.test.ets,instrument-test,TimeCtrlRenderTest,DEVECO_SDK_HOME=/Applications/DevEco-Studio.app/Contents/sdk NODE_HOME=/Applications/DevEco-Studio.app/Contents/tools/node /Applications/DevEco-Studio.app/Contents/tools/node/bin/node /Applications/DevEco-Studio.app/Contents/tools/hvigor/bin/hvigorw.js --no-daemon onDeviceTest -p module=minepage@ohosTest -p coverage=true,passed,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/intermediates/ohosTest/coverage_data/test_result.txt,/Users/jiaomingyang/project/arkts/repos/agc-template-market-harmonyos-demos/.claude/worktrees/adoring-einstein-12f25a/KidsTemplate/ChildrenEducation/scenes/tabs/minepage/.test/default/outputs/ohosTest/reports/coverageReport.json,yes_2026-04-26_22:32:57,10,10,100.00,0,0,N/A,6,6,100.00,initialRender;anonymous_3;anonymous_5;anonymous_36;anonymous_37;anonymous_40,rerun passed: 3/3 tests
